Product_ID,Product_Name,Model_ID,Model_Name,,,
BMW,BMW,BMW-M1,X3,,,
BMW,BMW,BMW-M2,X4,,,
BMW,BMW,BMW-M3,X5,,,
BMW,BMW,BMW-M4,X6,,,
BMW,BMW,BMW-M5,X7,,,
Mer,Mercedes-Benz,Mer-M6,C-Class,,,
Mer,Mercedes-Benz,Mer-M7,GLE-Class,,,
Mer,Mercedes-Benz,Mer-M8,GLS-Class,,,
Dod,Dodge,Dod-M9,Durango,,,
Jee,Jeep,Jee-M10,Cherokee,,,
Jee,Jeep,Jee-M11,Gladiator,,,
Jee,Jeep,Jee-M12,Grand Cherokee,,,
Jee,Jeep,Jee-M13,Wrangler,,,
Ram,Ram,Ram-M14,1500,,,
Ram,Ram,Ram-M15,1500 Classic,,,
For,Ford,For-M16,Bronco,,,
For,Ford,For-M17,Escape,,,
For,Ford,For-M18,Expedition,,,
For,Ford,For-M19,Expedition MAX,,,
For,Ford,For-M20,Explorer,,,
For,Ford,For-M21,F-150,,,
For,Ford,For-M22,,,,
For,Ford,For-M23,Mustang,,,
For,Ford,For-M24,Ranger,,,
For,Ford,For-M25,Super Duty,,,
For,Ford,For-M26,Transit,,,
Lin,Lincoln,Lin-M27,Aviator,,,
Lin,Lincoln,Lin-M28,Continental,,,
Lin,Lincoln,Lin-M29,Corsair,,,
Lin,Lincoln,Lin-M30,Navigator,,,
Bui,Buick,Bui-M31,Enclave,,,
Cad,Cadillac,Cad-M32,CT4,,,
Cad,Cadillac,Cad-M33,CT5,,,
Cad,Cadillac,Cad-M34,CT6,,,
Cad,Cadillac,Cad-M35,Escalade,,,
Cad,Cadillac,Cad-M36,Escalade ESV,,,
Cad,Cadillac,Cad-M37,XT4,,,
Cad,Cadillac,Cad-M38,XT5,,,
Cad,Cadillac,Cad-M39,XT6,,,
Che,Chevrolet,Che-M40,Bolt,,,
Che,Chevrolet,Che-M41,Camaro,,,
Che,Chevrolet,Che-M42,Colorado,,,
Che,Chevrolet,Che-M43,Corvette,,,
Che,Chevrolet,Che-M44,Express,,,
Che,Chevrolet,Che-M45,Malibu,,,
Che,Chevrolet,Che-M46,Silverado,,,
Che,Chevrolet,Che-M47,,,,
Che,Chevrolet,Che-M48,Sonic,,,
Che,Chevrolet,Che-M49,Suburban,,,
Che,Chevrolet,Che-M50,Tahoe,,,
Che,Chevrolet,Che-M51,Traverse,,,
GMC,GMC,GMC-M52,Acadia,,,
GMC,GMC,GMC-M53,Canyon,,,
GMC,GMC,GMC-M54,Savana,,,
GMC,GMC,GMC-M55,Sierra,,,
GMC,GMC,GMC-M56,,,,
GMC,GMC,GMC-M57,Yukon,,,
GMC,GMC,GMC-M58,Yukon XL,,,
Acu,Acura,Acu-M59,ILX,,,
Acu,Acura,Acu-M60,MDX,,,
Acu,Acura,Acu-M61,NSX,,,
Acu,Acura,Acu-M62,RDX,,,
Acu,Acura,Acu-M63,TLX,,,
Hon,Honda,Hon-M64,Accord,,,
Hon,Honda,Hon-M65,Civic,,,
Hon,Honda,Hon-M66,CR-V,,,
Hon,Honda,Hon-M67,Insight,,,
Hon,Honda,Hon-M68,Odyssey,,,
Hon,Honda,Hon-M69,Passport,,,
Hon,Honda,Hon-M70,Pilot,,,
Hon,Honda,Hon-M71,Ridgeline,,,
Hyu,Hyundai,Hyu-M72,Elantra,,,
Hyu,Hyundai,Hyu-M73,Santa Fe,,,
Hyu,Hyundai,Hyu-M74,,,,
Hyu,Hyundai,Hyu-M75,Sonata,,,
Kia,Kia,Kia-M76,Optima,,,
Kia,Kia,Kia-M77,Sorento,,,
Kia,Kia,Kia-M78,Telluride,,,
Inf,Infiniti,Inf-M79,QX60,,,
Nis,Nissan,Nis-M80,Altima,,,
Nis,Nissan,Nis-M81,,,,
Nis,Nissan,Nis-M82,Frontier,,,
Nis,Nissan,Nis-M83,Leaf,,,
Nis,Nissan,Nis-M84,Maxima,,,
Nis,Nissan,Nis-M85,Murano,,,
Nis,Nissan,Nis-M86,NV,,,
Nis,Nissan,Nis-M87,Pathfinder,,,
Nis,Nissan,Nis-M88,Rogue,,,
Nis,Nissan,Nis-M89,Titan,,,
Riv,Rivian,Riv-M90,R1S,,,
Riv,Rivian,Riv-M91,R1T,,,
Sub,Subaru,Sub-M92,Ascent,,,
Sub,Subaru,Sub-M93,Impreza,,,
Sub,Subaru,Sub-M94,Legacy,,,
Sub,Subaru,Sub-M95,Outback,,,
Tes,Tesla,Tes-M96,Model 3,,,
Tes,Tesla,Tes-M97,Model S,,,
Tes,Tesla,Tes-M98,Model X,,,
Lex,Lexus,Lex-M99,ES,,,
Toy,Toyota,Toy-M100,Avalon,,,
Toy,Toyota,Toy-M101,Camry,,,
Toy,Toyota,Toy-M102,Corolla,,,
Toy,Toyota,Toy-M103,Highlander,,,
Toy,Toyota,Toy-M104,Sequoia,,,
Toy,Toyota,Toy-M105,Sienna,,,
Toy,Toyota,Toy-M106,Tacoma,,,
Toy,Toyota,Toy-M107,Tundra,,,
Vol,Volkswagen,Vol-M108,Atlas,,,
Vol,Volkswagen,Vol-M109,Passat,,,
Vol,Volvo,Vol-M110,S60,,,
Agr,Agrale,Agr-M111,A7500,,,
Agr,Agrale,Agr-M112,A8700,,,
Agr,Agrale,Agr-M113,A10000,,,
Che,Chevrolet,Che-M114,Cruze,,,
Cit,Citro‘n,Cit-M115,C4L,,,
Cit,Citro‘n,Cit-M116,Berlingo,,,
Fia,Fiat,Fia-M117,Palio,,,
Fia,Fiat,Fia-M118,Cronos,,,
For,Ford,For-M119,Focus,,,
Hon,Honda,Hon-M120,HR-V,,,
Mer,Mercedes-Benz,Mer-M121,Sprinter,,,
Mer,Mercedes-Benz,Mer-M122,Vito,,,
Mer,Mercedes-Benz,Mer-M123,X-Class,,,
Peu,Peugeot,Peu-M124,308,,,
Peu,Peugeot,Peu-M125,408,,,
Peu,Peugeot,Peu-M126,Partner,,,
Ren,Renault,Ren-M127,Alaskan,,,
Ren,Renault,Ren-M128,Kangoo,,,
Ren,Renault,Ren-M129,Dokker,,,
Ren,Renault,Ren-M130,Sandero,,,
Ren,Renault,Ren-M131,Logan,,,
Ren,Renault,Ren-M132,Fluence,,,
Toy,Toyota,Toy-M133,Hilux,,,
Toy,Toyota,Toy-M134,Hilux SW4,,,
Vol,Volkswagen,Vol-M135,Suran,,,
Vol,Volkswagen,Vol-M136,Amarok,,,
Mar,Maruti Suzuki,Mar-M137,Baleno,,,
Mar,Maruti Suzuki,Mar-M138,Ertiga,,,
Mar,Maruti Suzuki,Mar-M139,Swift,,,
Mar,Maruti Suzuki,Mar-M140,Vitara Brezza,,,
Mar,Maruti Suzuki,Mar-M141,Wagon R,,,
Mar,Maruti Suzuki,Mar-M142,Alto,,,
Mar,Maruti Suzuki,Mar-M143,Dzire,,,
Mar,Maruti Suzuki,Mar-M144,S-Presso,,,
Mar,Maruti Suzuki,Mar-M145,XL6,,,
Mar,Maruti Suzuki,Mar-M146,Alto K10,,,
Mar,Maruti Suzuki,Mar-M147,Celerio,,,
Mar,Maruti Suzuki,Mar-M148,S-Corss,,,
Mar,Maruti Suzuki,Mar-M149,Ciaz,,,
Mar,Maruti Suzuki,Mar-M150,Eeco,,,
Mar,Maruti Suzuki,Mar-M151,Ignis,,,
Mar,Maruti Suzuki,Mar-M152,Celerio X,,,
Hyu,Hyundai,Hyu-M153,Elite i20,,,
Hyu,Hyundai,Hyu-M154,Venue,,,
Hyu,Hyundai,Hyu-M155,Creta,,,
Hyu,Hyundai,Hyu-M156,Verna,,,
Hyu,Hyundai,Hyu-M157,Santro,,,
Hyu,Hyundai,Hyu-M158,Grand i10 Nios,,,
Hyu,Hyundai,Hyu-M159,Grand i10,,,
Hyu,Hyundai,Hyu-M160,Xcent,,,
Hyu,Hyundai,Hyu-M161,i20 Active,,,
Hyu,Hyundai,Hyu-M162,Tucson,,,
Hyu,Hyundai,Hyu-M163,Kona Electric,,,
Hyu,Hyundai,Hyu-M164,Aura,,,
Mah,Mahindra,Mah-M165,Scorpio,,,
Mah,Mahindra,Mah-M166,Bolero,,,
Mah,Mahindra,Mah-M167,XUV300,,,
Mah,Mahindra,Mah-M168,XUV500,,,
Mah,Mahindra,Mah-M169,Marazzo,,,
Mah,Mahindra,Mah-M170,TUV300,,,
Mah,Mahindra,Mah-M171,TUV300 Plus,,,
Mah,Mahindra,Mah-M172,Thar,,,
Mah,Mahindra,Mah-M173,KUV100 NXT,,,
Mah,Mahindra,Mah-M174,Alturas G4,,,
Mah,Mahindra,Mah-M175,Xylo,,,
Mah,Mahindra,Mah-M176,E2o Plus,,,
Mah,Mahindra,Mah-M177,Verito,,,
Mah,Mahindra,Mah-M178,Verito Vibe CS,,,
Tat,Tata,Tat-M179,Nexon,,,
Tat,Tata,Tat-M180,Harrier,,,
Tat,Tata,Tat-M181,Tiago,,,
Tat,Tata,Tat-M182,Tigor,,,
Tat,Tata,Tat-M183,Hexa,,,
Tat,Tata,Tat-M184,Safari Storme,,,
Tat,Tata,Tat-M185,Zest,,,
Tat,Tata,Tat-M186,Nano,,,
Tat,Tata,Tat-M187,Bolt,,,
Tat,Tata,Tat-M188,Tiago NRG,,,
Tat,Tata,Tat-M189,Tiago JTP,,,
Tat,Tata,Tat-M190,Nano GenX,,,
Tat,Tata,Tat-M191,Tigor JTP,,,
Tat,Tata,Tat-M192,Tigor EV,,,
Tat,Tata,Tat-M193,Altroz,,,
Tat,Tata,Tat-M194,Gravitas,,,
Toy,Toyota,Toy-M195,Innova Crysta,,,
Toy,Toyota,Toy-M196,Glanza,,,
Toy,Toyota,Toy-M197,Fortuner,,,
Toy,Toyota,Toy-M198,Etios Liva,,,
Toy,Toyota,Toy-M199,Platinum Etios,,,
Toy,Toyota,Toy-M200,Yaris,,,
Toy,Toyota,Toy-M201,Corolla Altis,,,
Toy,Toyota,Toy-M202,Etios Cross,,,
Toy,Toyota,Toy-M203,Land Cruiser,,,
Toy,Toyota,Toy-M204,Land Cruiser Prado,,,
Toy,Toyota,Toy-M205,Prius,,,
Toy,Toyota,Toy-M206,Vellfire,,,
Ren,Renault,Ren-M207,Duster,,,
Ren,Renault,Ren-M208,Capture,,,
Ren,Renault,Ren-M209,Lodgy,,,
Ren,Renault,Ren-M210,Kwid,,,
Ren,Renault,Ren-M211,Triber,,,
Kia,Kia,Kia-M212,Seltos,,,
Kia,Kia,Kia-M213,Carnival,,,
Kia,Kia,Kia-M214,Rio,,,
Hon,Honda,Hon-M215,Amaze,,,
Hon,Honda,Hon-M216,City,,,
Hon,Honda,Hon-M217,WR-V,,,
Hon,Honda,Hon-M218,Jazz,,,
Hon,Honda,Hon-M219,Brio,,,
Hon,Honda,Hon-M220,BR-V,,,
For,Ford,For-M221,Ecosport,,,
For,Ford,For-M222,Endeavour,,,
For,Ford,For-M223,Frigo,,,
For,Ford,For-M224,Aspire,,,
For,Ford,For-M225,Freestyle,,,
For,Ford,For-M226,Kuga,,,
Aud,Audi,Aud-M227,A4,,,
Aud,Audi,Aud-M228,A6,,,
Aud,Audi,Aud-M229,A3,,,
Aud,Audi,Aud-M230,Q3,,,
Aud,Audi,Aud-M231,Q7,,,
Aud,Audi,Aud-M232,Q5,,,
Aud,Audi,Aud-M233,R8,,,
Aud,Audi,Aud-M234,A3 Cabriolet,,,
Aud,Audi,Aud-M235,A5,,,
Aud,Audi,Aud-M236,A5 Cabriolet,,,
Aud,Audi,Aud-M237,RS5,,,
Aud,Audi,Aud-M238,RS7 Sportback,,,
Aud,Audi,Aud-M239,Q8,,,
Aud,Audi,Aud-M240,E-Tron,,,
Aud,Audi,Aud-M241,Q2,,,
BMW,BMW,BMW-M242,3 Series,,,
BMW,BMW,BMW-M243,X1,,,
BMW,BMW,BMW-M244,5 Series,,,
BMW,BMW,BMW-M245,7 Series,,,
BMW,BMW,BMW-M246,Z4,,,
BMW,BMW,BMW-M247,3 Series GT,,,
BMW,BMW,BMW-M248,6 Series GT,,,
BMW,BMW,BMW-M249,M5,,,
BMW,BMW,BMW-M250,M2,,,
MG,MG,MG-M251,Hector,,,
MG,MG,MG-M252,ZS EV,,,
Jee,Jeep,Jee-M253,Compass,,,
Jee,Jeep,Jee-M254,Renegade,,,
Vol,Volkswagen,Vol-M255,Polo,,,
Vol,Volkswagen,Vol-M256,Vento,,,
Vol,Volkswagen,Vol-M257,Ameo,,,
Vol,Volkswagen,Vol-M258,Tiguan,,,
Vol,Volkswagen,Vol-M259,T-Roc,,,
Vol,Volkswagen,Vol-M260,T-Cross,,,
Nis,Nissan,Nis-M261,Sunny,,,
Nis,Nissan,Nis-M262,Micra,,,
Nis,Nissan,Nis-M263,Kicks,,,
Nis,Nissan,Nis-M264,Terrano,,,
Nis,Nissan,Nis-M265,Micra-Active,,,
Nis,Nissan,Nis-M266,GT-R,,,
Nis,Nissan,Nis-M267,Leaf EV,,,
Nis,Nissan,Nis-M268,Go,,,
Nis,Nissan,Nis-M269,Go Plus,,,
Nis,Nissan,Nis-M270,Redi Go,,,
Sko,Skoda,Sko-M271,Rapid,,,
Sko,Skoda,Sko-M272,Octavia,,,
Sko,Skoda,Sko-M273,Kodiaq,,,
Sko,Skoda,Sko-M274,Superb,,,
Mit,Mitsubishi,Mit-M275,Pajero Sport,,,
Mit,Mitsubishi,Mit-M276,Outlander,,,
Mit,Mitsubishi,Mit-M277,Montero,,,